Job title,Payment info,Link
python cloud developer for scraping bot needed,fixed price expert est. budget: $250.00,https://www.upwork.com/jobs/span-class-highlight-Python-span-Cloud-Developer-for-span-class-highlight-Scraping-span-Bot-Needed_~021841438576827709486/?referrer_url_path=/nx/search/jobs/
create automated class schedule monitoring & email notification service,"hourly: $15.00 - $35.00  entry level  est. time: less than 1 month, less than 30 hrs/week",https://www.upwork.com/jobs/Create-Automated-Class-Schedule-Monitoring-Email-Notification-Service_~021841403792555673507/?referrer_url_path=/nx/search/jobs/
scraping model information from agency websites,fixed price entry level est. budget: $500.00,https://www.upwork.com/jobs/span-class-highlight-Scraping-span-Model-Information-from-Agency-span-class-highlight-Websites-span_~021841397219317019300/?referrer_url_path=/nx/search/jobs/
python developer,"hourly: $16.00 - $40.00  intermediate  est. time: 1 to 3 months, less than 30 hrs/week",https://www.upwork.com/jobs/span-class-highlight-Python-span-Developer_~021841370090720694805/?referrer_url_path=/nx/search/jobs/
data scraper needed for image collection,fixed price intermediate est. budget: $125.00,https://www.upwork.com/jobs/Data-span-class-highlight-Scraper-span-Needed-for-Image-Collection_~021841326698108925347/?referrer_url_path=/nx/search/jobs/
white pages scraper software development,fixed price intermediate est. budget: $300.00,https://www.upwork.com/jobs/White-Pages-span-class-highlight-Scraper-span-Software-Development_~021841326881052490557/?referrer_url_path=/nx/search/jobs/
web scraping specialist needed for vehicle auction data,fixed price intermediate est. budget: $600.00,https://www.upwork.com/jobs/span-class-highlight-Web-span-span-class-highlight-Scraping-span-Specialist-Needed-for-Vehicle-Auction-Data_~021841322198871195917/?referrer_url_path=/nx/search/jobs/
scrape list of 5000 ebay sellers from ebay.de,fixed price intermediate est. budget: $100.00,https://www.upwork.com/jobs/span-class-highlight-Scrape-span-list-5000-ebay-sellers-from-ebay_~021841298902444342077/?referrer_url_path=/nx/search/jobs/
ecommerce / marketplace data scraping (+ python web development) - stealth startup,"hourly: $5.00 - $10.00  expert  est. time: less than 1 month, less than 30 hrs/week",https://www.upwork.com/jobs/eCommerce-Marketplace-Data-span-class-highlight-Scraping-span-span-class-highlight-Python-span-span-class-highlight-Web-span-Development-STEALTH-STARTUP_~021841256956777506009/?referrer_url_path=/nx/search/jobs/
web scraper project - make.com automation,"hourly: $22.00 - $22.00  entry level  est. time: less than 1 month, not sure",https://www.upwork.com/jobs/span-class-highlight-Web-span-span-class-highlight-Scraper-span-Project-Make-com-automation_~021841256089202430485/?referrer_url_path=/nx/search/jobs/
web scraper/developer needed to download vimeo-hosted videos from website,"hourly: $8.00 - $10.00  intermediate  est. time: less than 1 month, hours to be determined",https://www.upwork.com/jobs/span-class-highlight-Web-span-span-class-highlight-Scraper-span-Developer-Needed-Download-Vimeo-Hosted-Videos-from-span-class-highlight-Website-span_~021841246827043206563/?referrer_url_path=/nx/search/jobs/
automation expert needed for extracting/scraping categories from third-party sites,"hourly: $10.00 - $45.00  intermediate  est. time: less than 1 month, less than 30 hrs/week",https://www.upwork.com/jobs/Automation-Expert-Needed-for-Extracting-span-class-highlight-scraping-span-Categories-from-Third-Party-span-class-highlight-Sites-span_~021841249290686122307/?referrer_url_path=/nx/search/jobs/
google apps script developer needed to extract amazon product review data,fixed price intermediate est. budget: $150.00,https://www.upwork.com/jobs/Google-Apps-Script-Developer-Needed-Extract-Amazon-Product-Review-Data_~021841240790281528537/?referrer_url_path=/nx/search/jobs/
looking for a python developer to work on my web scraper,"hourly: $15.00 - $25.00  intermediate  est. time: more than 6 months, 30+ hrs/week",https://www.upwork.com/jobs/Looking-for-span-class-highlight-Python-span-developer-work-span-class-highlight-Web-span-span-class-highlight-scraper-span_~021841223124939027875/?referrer_url_path=/nx/search/jobs/
integrate automations with ai tools,"hourly: $30.00 - $60.00  expert  est. time: 1 to 3 months, less than 30 hrs/week",https://www.upwork.com/jobs/Integrate-automations-with-tools_~021841196912267688765/?referrer_url_path=/nx/search/jobs/
mobile app developer for ai-powered sports betting analysis platform,"fixed price expert est. budget: $1,000.00",https://www.upwork.com/jobs/Mobile-App-Developer-for-Powered-Sports-Betting-Analysis-Platform_~021841176072423668541/?referrer_url_path=/nx/search/jobs/
use scraping browsers to scrape 100-200 links (same layout/fields) each minute cost efficiently,fixed price expert est. budget: $200.00,https://www.upwork.com/jobs/Use-span-class-highlight-scraping-span-browsers-span-class-highlight-scrape-span-100-200-links-same-layout-fields-each-minute-cost-efficiently_~021841172846768403875/?referrer_url_path=/nx/search/jobs/
booking website development with data scraping,"hourly: $8.00 - $25.00  intermediate  est. time: 1 to 3 months, less than 30 hrs/week",https://www.upwork.com/jobs/Booking-span-class-highlight-Website-span-Development-with-Data-span-class-highlight-Scraping-span_~021841170255768953326/?referrer_url_path=/nx/search/jobs/
automate daily excel updates from subscription websites,"fixed price intermediate est. budget: $1,000.00",https://www.upwork.com/jobs/Automate-Daily-Excel-Updates-from-Subscription-span-class-highlight-Websites-span_~021841162241910584637/?referrer_url_path=/nx/search/jobs/
python developer for web scraping and data storage in firebase cloud firestore,fixed price intermediate est. budget: $500.00,https://www.upwork.com/jobs/span-class-highlight-Python-span-Developer-for-span-class-highlight-Web-span-span-class-highlight-Scraping-span-and-Data-Storage-Firebase-Cloud-Firestore_~021841159484117955901/?referrer_url_path=/nx/search/jobs/
